jurisdiction,similarity,class_a,label_a,definition_a,class_b,label_b,definition_b,parent,recommendation,approve_merge
gro-us,0.8783,gro-us:SubsidizedTitleIVAid,Subsidized Title IV Aid,"Federal student aid under Title IV that is subsidized, including Federal Work-Study, for which verification is required.",gro-us:UnsubsidizedTitleIVAid,Unsubsidized Title IV Aid,"Federal student aid under Title IV that is unsubsidized, for which verification is not required except as noted.",cco:Resource,REVIEW CAREFULLY (low confidence),NO
gro-us,0.8737,gro-us:StudentAvailableIncome,Student Available Income,"The student's available income, calculated by subtracting certain allowances from the student's total income.",gro-us:StudentTotalIncome,Student Total Income,"The total income of a student, which is decreased by the sum of income offsets and reduced by the sum of income allowances as specified in the calculation rule.",cco:Resource,REVIEW CAREFULLY (low confidence),NO
gro-us,0.8706,gro-us:FAFSAForm,FAFSA Form,The Free Application for Federal Student Aid form used to determine eligibility for student financial aid.,gro-us:FAFSAInformation,FAFSA Information,Information submitted via the Free Application for Federal Student Aid (FAFSA) form.,cco:Resource,REVIEW CAREFULLY (low confidence),NO
gro-us,0.8689,gro-us:FAFSAApplication,FAFSA Application,The Free Application for Federal Student Aid form used to determine eligibility for student financial aid in the United States.,gro-us:FAFSAFormInformation,FAFSA Form Information,Information contained in or related to the Free Application for Federal Student Aid (FAFSA) form.,cco:Resource,REVIEW CAREFULLY (low confidence),NO
gro-us,0.8661,gro-us:SingleParent,Single Parent,A condition of being a single parent,gro-us:NotSingleParent,Not Single Parent,A condition of not being a single parent,cco:Condition,REVIEW CAREFULLY (low confidence),NO
gro-us,0.8649,gro-us:RequiredContributor,Required Contributor,"A person, such as a parent or spouse, who is required to provide information on a student's FAFSA application.",gro-us:Contributor,Contributor,"Contributor refers to anyone who is required to provide information, consent, and approval, and a signature on the FAFSA form.",cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-us,0.8624,gro-us:StateFinancialAid,State Financial Aid,"Financial aid provided by a U.S. state to eligible students, including grants and other assistance programs.",gro-us:FinancialAid,Financial Aid,Federal student aid funds that may be awarded and disbursed to eligible students.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-us,0.8591,gro-us:FAFSAApplication,FAFSA Application,The Free Application for Federal Student Aid form used to determine eligibility for student financial aid in the United States.,gro-us:FAFSAInformation,FAFSA Information,Information submitted via the Free Application for Federal Student Aid (FAFSA) form.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-us,0.8565,gro-us:ParentsAvailableIncome,Parents' Available Income,"Parents' available income is calculated by subtracting certain allowances from the parents' total income. These allowances account for certain nondiscretionary expenses, such as taxes and basic living expenses. Once a minimum level of support has been offset for those expenses, the formula assumes that the remaining income is available for discretionary purposes, including paying for a postsecondary education. The available income can be a negative number.",gro-us:AvailableIncome,Available Income,"The student's (and spouse's) available income, calculated by subtracting certain allowances from total income. It represents income available for discretionary purposes, including postsecondary education costs.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-us,0.855,gro-us:StudentAidIndex,Student Aid Index,"The Student Aid Index (SAI) is a calculated value representing a student's financial need for postsecondary education, determined by adding available income and contribution from assets, then applying progressive rates from Table C6 (22% to 47%) as adjusted available income increases.",gro-us:SAIResource,Student Aid Index,"The Student Aid Index (SAI) resulting from professional judgment adjustments, used for Title IV aid eligibility.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-us,0.851,gro-us:AvailableIncome,Available Income,"The student's (and spouse's) available income, calculated by subtracting certain allowances from total income. It represents income available for discretionary purposes, including postsecondary education costs.",gro-us:TotalIncome,Total Income,"The student's (and spouse's) total income, which is decreased by the sum of specified offsets and allowances.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
